hom_2_9 save_up%2:40:00:: save%2:40:03::
hom_361_7 short%4:02:04:: dead%5:00:00:extinct:02
hom_362_11 false%5:00:00:invalid:00 mistaken%5:00:00:incorrect:00
hom_363_15 heel%1:08:00:: heel%2:35:00::
hom_364_14 trot%1:10:00:: pony%1:05:03::
hom_366_14 prune%1:13:00:: prune%2:35:00::
hom_367_12 terminal%3:01:00:: terminal%3:00:00::
hom_369_11 grilled%5:00:01:cooked:00 grill%2:30:00::
hom_371_6 taper%2:30:02:: point%2:30:00::
hom_373_21 rough%4:02:03:: rough%5:00:00:unpleasant:00
hom_374_11 tip%2:32:04:: tip%1:15:00::
hom_375_11 score%1:23:00:: score%2:36:00::
hom_378_12 suspicious%5:00:00:questionable:00 funny%5:00:00:humorous:00
hom_380_20 footstep%1:23:00:: footstep%1:11:00::
hom_381_10 drive%2:38:10:: drive%2:33:01::
hom_382_8 squawk%1:10:00:: boeuf%1:13:00::
hom_383_10 song%1:21:00:: birdcall%1:10:00::
hom_386_9 arranged%5:00:01:organized:02 arrange%2:36:02::
hom_389_10 cut%1:06:01:: cut%1:04:06::
hom_390_13 date%2:31:01:: date%2:41:00::
hom_391_10 long%3:00:00:: long%5:00:00:unsound:00
hom_392_5 hump%2:35:00:: eruption%1:11:01::
hom_393_10 blow%2:29:01:: blow%2:39:01::
hom_394_10 load%2:40:12:: flush%5:00:00:rich:00
hom_395_8 conduct%2:38:01:: take%2:30:00::
hom_396_18 let%2:32:00:: let%2:30:01::
hom_397_13 aug%1:28:00:: grand%5:00:00:noble:02
hom_399_13 draw%2:34:01:: draw%2:31:13::
hom_400_9 fell%2:38:09:: fly%1:04:00::
hom_401_13 summate%2:32:00:: add%2:30:00::
hom_402_14 malodour%1:09:00:: stink%2:42:00::
hom_405_12 mint_candy%1:13:00:: mint%1:06:00::
hom_406_6 element%1:06:00:: element%1:26:00::
hom_408_11 pa%1:23:00:: atomic_number_91%1:27:00::
hom_409_10 worn-out%5:00:00:tired:00 play_out%2:40:00::
hom_411_8 coordinate%2:30:01:: array%2:31:00::
hom_412_30 change%1:21:03:: modify%2:30:10::
hom_414_13 contain%2:42:06:: contain%2:42:14::
hom_417_14 quarter%1:21:00:: quarter%1:15:00::
hom_418_9 downhill%1:17:00:: downhill%1:11:00::
hom_421_16 dirt%1:27:01:: malicious_gossip%1:10:00::
hom_422_20 miss%2:42:01:: miss%2:42:02::
hom_423_12 saviour%1:18:01:: deliveryman%1:18:00::
hom_424_16 knitting%1:06:00:: knitting%1:04:00::
hom_426_7 book%1:10:00:: book%1:14:01::
hom_428_10 pan%2:32:00:: pan%1:06:00::
hom_429_8 pointless%3:00:00:: pointless%5:00:00:worthless:00
hom_430_16 slip%2:38:12:: steal%2:38:00::
hom_431_15 landslide%1:11:01:: landslide%1:11:00::
hom_432_20 deal%2:40:02:: deal%2:40:06::
hom_434_13 clerical%3:01:01:: clerical%3:01:00::
hom_437_6 suspend%2:42:00:: suspend%2:30:00::
hom_440_9 dry_land%1:17:00:: bray%2:30:00::
hom_441_9 mental_faculty%1:09:00:: staff%1:14:00::
hom_443_10 electric_potential%1:19:00:: potential%3:00:00::
hom_447_29 bust%2:35:02:: snap%2:35:04::
hom_449_17 calfskin%1:27:00:: sura%1:08:00::
hom_451_17 flag%1:06:01:: flag%1:06:00::
hom_452_8 bankrupt%2:40:00:: ruin%2:35:02::
hom_454_11 cabinet%1:06:00:: locker%1:06:00::
hom_457_12 triumph%2:32:00:: crow%2:32:01::
hom_463_8 pine_tree%1:20:00:: pine%1:20:02::
hom_464_10 press%2:35:03:: ironed%3:00:00::
hom_467_12 absorbing%5:00:00:interesting:00 centre%2:31:00::
hom_468_10 span%2:42:00:: span%1:23:01::
hom_470_12 buffer%1:06:03:: buffer%1:06:00::
hom_473_23 dummy%2:36:00:: dummy%1:06:00::
hom_478_17 pay%2:42:00:: pay%2:31:03::
hom_479_11 change%1:06:01:: variety%1:07:01::
hom_481_15 steep%1:17:00:: infuse%2:30:00::
hom_482_9 fortified%5:00:00:strong:00 bastioned%5:00:00:protected:00
hom_483_9 expire%2:29:00:: pass%2:30:11::
hom_485_15 connecter%1:06:00:: connection%1:24:00::
hom_486_8 relation%1:18:00:: relative%1:05:00::
hom_487_21 dreaming%1:09:00:: dreaming%1:09:02::
hom_488_9 bored%5:00:00:uninterested:00 bored%5:00:00:tired:00
hom_490_12 story%1:10:02:: storey%1:06:00::
hom_491_4 thenar%1:08:00:: palm%1:23:00::
hom_493_7 hasheesh%1:06:00:: hash%1:13:00::
hom_495_11 maintain%2:42:00:: clutches%1:04:00::
hom_496_8 score%2:35:01:: score%1:14:00::
hom_497_12 impression%1:25:00:: belief%1:09:01::
hom_500_20 trigger_off%2:36:00:: trigger%2:33:00::
hom_502_10 raw_material%1:27:00:: staple_fiber%1:27:00::
hom_503_14 proof%1:06:00:: proofread%2:31:00::
hom_504_17 count%1:23:00:: count%1:18:00::
hom_508_9 icky%5:00:00:bad:00 lousy%5:00:00:dirty:01
hom_509_5 joke%2:32:00:: jocularity%1:04:00::
hom_511_22 nut%1:20:00:: nut%1:18:00::
hom_512_11 ingrained%5:00:00:established:00 plant%2:35:00::
hom_513_16 come%2:39:00:: come%2:30:02::
hom_514_10 hint%1:23:01:: hound%2:38:00::
hom_516_10 charge%2:30:00:: charge%2:33:00::
hom_520_9 grip%1:18:00:: grip%1:19:00::
hom_522_17 file%2:38:00:: lodge%2:32:00::
hom_524_9 category%1:14:00:: class%1:14:04::
hom_525_6 flashing%1:11:00:: flash%1:09:00::
hom_526_10 go%2:42:11:: intermingle%2:35:00::
hom_531_12 comb%1:04:00:: ransack%2:35:02::
hom_535_6 bouncing%5:00:00:healthy:00 jounce%2:38:00::
hom_538_7 blabber%1:18:00:: grunter%1:05:00::
hom_540_5 cycle%1:28:00:: cycle%1:11:02::
hom_542_9 serve%2:33:00:: serve%2:42:00::
hom_543_14 recent%5:00:00:past:00 former%5:00:02:past:00
hom_545_8 baseball_club%1:14:00:: guild%1:14:00::
hom_546_34 sign%1:10:04:: sign%2:32:04::
hom_547_7 downhill%4:02:00:: downhill%1:17:00::
hom_548_21 hustle%1:04:00:: stir%2:38:01::
hom_550_10 mammoth%1:05:00:: mammoth%5:00:01:large:00
hom_552_6 trouble%1:09:00:: problem%1:10:00::
hom_554_14 fashion%1:04:00:: fashion%1:06:00::
hom_555_10 slick_up%2:30:00:: spruce_up%2:29:00::
hom_557_9 slice%1:04:00:: slice%2:35:02::
hom_558_9 precipitant%5:00:00:hurried:00 precipitous%5:00:00:steep:00
hom_563_6 fall%1:11:04:: fall%2:30:14::
hom_565_10 bottle%2:40:00:: bottle%2:35:00::
hom_566_14 square%5:00:00:paid:00 squarely%4:02:02::
hom_568_8 concern%2:42:01:: interest%1:09:00::
hom_569_1 power%2:34:00:: power%1:07:00::
hom_570_8 reduce%2:30:05:: funk%2:38:00::
hom_571_10 supporting%1:04:00:: fend_for%2:32:00::
hom_573_7 evaporate%2:30:03:: disappear%2:30:02::
hom_574_11 connection%1:18:01:: connecter%1:06:00::
hom_575_11 appoint%2:41:00:: commove%2:37:00::
hom_578_14 flash%1:06:01:: flash%2:30:04::
hom_579_13 base%1:15:00:: base_of_operations%1:06:00::
hom_581_11 conditions%1:19:00:: brave%2:42:00::
hom_582_9 buffalo%1:05:01:: buffalo%1:15:00::
hom_584_17 prevarication%1:10:00:: lie%2:32:00::
hom_586_5 plan%2:36:01:: design%1:09:00::
hom_587_7 drill%2:31:03:: bore%2:35:00::
hom_588_8 steal%1:21:00:: steal%1:04:00::
hom_590_11 pop%1:10:00:: belt_down%2:34:00::
hom_591_10 flop%4:02:00:: flop%1:18:00::
hom_593_13 fight_down%2:33:00:: oppose%2:41:00::
hom_594_7 incline%2:39:00:: inclined%3:00:01::
hom_595_14 downhill%4:02:00:: downhill%1:11:00::
hom_596_16 caliber%1:07:00:: caliber%1:07:01::
hom_597_6 stable%5:00:00:sound:00 stable%5:00:00:unreactive:00
hom_598_9 cold%3:00:02:: cold%5:00:00:unloving:00
hom_599_12 kick%2:35:08:: kick%2:35:00::
hom_600_16 bench%1:14:02:: bench%1:14:01::
hom_602_10 grouper%1:13:00:: grouper%1:05:00::
hom_604_19 thin%5:00:00:spiritless:00 lean%3:00:04::
hom_605_6 unfreeze%2:30:00:: mellow%2:30:03::
hom_608_8 steal%1:21:00:: steal%1:04:00::
hom_609_13 clear%5:00:01:pure:02 fresh%5:00:00:pure:02
hom_614_18 infuse%2:30:00:: steep%1:17:00::
hom_619_12 drive%2:35:07:: drive%2:38:09::
hom_620_13 up%2:30:00:: up%5:00:00:finished:01
hom_621_6 drill%2:31:01:: drill%2:31:03::
hom_622_4 rash%5:00:00:imprudent:00 rash%1:14:00::
hom_624_11 swell%2:30:02:: swell%1:17:00::
hom_627_1 championship%1:04:00:: accompaniment%1:10:00::
hom_628_13 storm%2:33:00:: storm%2:43:00::
hom_629_11 dough%1:13:00:: sugar%1:21:00::
hom_630_8 scale%2:38:00:: scale%1:06:00::
hom_635_18 grade%1:07:00:: degree%1:23:03::
hom_636_10 easing%1:04:00:: relief%1:04:00::
hom_637_11 frank%5:00:00:obvious:00 frank%2:32:00::
hom_638_11 grammatical_construction%1:10:00:: manifestation%1:10:01::
hom_640_8 emaciate%2:30:01:: wastefulness%1:07:00::
hom_642_12 comport%2:41:01:: carry%2:42:12::
hom_644_9 vision%1:11:00:: vision%1:09:03::
hom_646_15 demonstrate%2:39:01:: present%2:36:08::
hom_648_3 high%3:00:01:: luxuriously%4:02:00::
hom_650_14 still%1:06:00:: still%4:02:00::
hom_654_11 faculty%1:09:00:: staff%1:14:00::
hom_655_14 afraid%5:00:00:concerned:00 afraid%3:00:00::
hom_656_3 discomfited%5:00:00:unsuccessful:00 thwart%2:41:00::
hom_658_12 trace%1:23:00:: proffer%1:10:00::
hom_659_7 elastic%5:00:00:adaptable:00 flexible%3:00:01::
hom_660_12 check%2:32:07:: check%2:41:02::
hom_662_10 strain%2:35:02:: strain%2:35:00::
hom_663_18 resonate%2:39:00:: resonate%2:31:00::
hom_664_10 hook%2:33:00:: hook%2:35:01::
hom_666_9 sweet%1:13:01:: sweetness%1:09:00::
hom_667_10 note%2:39:00:: note%2:32:01::
hom_668_10 chuck_out%2:40:00:: discarded%5:00:00:unwanted:00
hom_670_15 click%2:38:00:: tear%2:35:00::
hom_671_6 assume%2:38:00:: strike%2:31:00::
hom_672_10 top%1:15:01:: top%2:30:03::
hom_673_13 fall%2:40:12:: fall%2:30:14::
hom_675_16 point%2:33:02:: luff%2:38:01::
hom_676_7 steal%1:04:00:: steal%1:21:00::
hom_677_6 log%1:10:01:: log%1:06:01::
hom_680_17 fertilize%2:30:00:: fecundate%2:30:00::
hom_681_7 degree%1:23:03:: level%1:26:00::
hom_686_11 hop%2:38:00:: cut%2:42:00::
hom_687_11 state_department%1:14:00:: put_forward%2:32:00::
hom_688_6 press%1:04:00:: pressure%1:19:01::
hom_689_15 nag%2:31:00:: hen-peck%2:32:00::
hom_690_5 goal%1:09:00:: goal%1:06:00::
hom_691_13 choppy%5:00:00:sudden:00 jerky%5:00:00:unsteady:00
hom_692_7 overboard%4:02:01:: overboard%4:02:00::
hom_693_44 bug%1:06:00:: bug%1:05:01::
hom_694_10 bass%5:00:00:low:03 deep%1:28:00::
hom_697_12 snap%2:35:04:: picnic%1:04:00::
hom_698_11 hot%5:00:00:near:00 hot%5:00:00:popular:00
hom_699_17 rash%1:14:00:: rash%5:00:00:imprudent:00
hom_703_8 atmospheric_pressure%1:19:00:: insistence%1:26:00::
hom_704_11 jump%2:30:01:: rise%2:33:00::
hom_705_9 toll%1:07:01:: toll%1:21:00::
hom_707_15 cured%5:00:00:well:01 corned%5:00:00:preserved:02
hom_710_24 school-age_child%1:18:00:: pupil%1:08:00::
hom_711_8 cut%2:30:15:: hack%2:41:00::
hom_713_5 congener%1:05:00:: relative%3:00:00::
hom_714_14 crisp%5:00:00:cold:01 wintry%5:00:00:cold:02
hom_715_9 bugged%5:00:00:wired:00 bug%2:39:00::
hom_716_3 livelihood%1:21:00:: maintain%2:31:00::
hom_717_10 dawn%2:30:00:: dawn%2:42:01::
hom_718_10 tip_off%2:32:01:: tip%2:30:00::
hom_723_13 work%2:36:00:: work%2:41:03::
hom_726_15 articulatio_coxae%1:08:00:: hip%1:08:00::
hom_727_9 level%1:26:00:: stage%1:06:01::
hom_728_9 pound%2:35:00:: pound%1:23:09::
hom_729_17 moped%1:06:00:: mop%2:35:01::
hom_732_15 case-hardened%5:00:00:hard:02 inure%2:30:00::
hom_735_3 wave%2:38:00:: flourish%2:35:00::
hom_736_9 prick%1:25:00:: mark%1:07:00::
hom_737_9 boot%1:06:03:: boot%2:35:00::
hom_740_10 pip%2:41:00:: shoot%2:35:01::
hom_741_8 vent%1:04:00:: retail_store%1:06:00::
hom_742_11 deadwood%1:20:00:: deadwood%1:07:00::
hom_745_14 thread%2:35:00:: ribbon%1:17:00::
hom_748_7 prior%1:18:00:: prior%5:00:00:antecedent:00
hom_749_11 position%1:09:00:: perspective%1:07:00::
hom_751_8 perturbed%5:00:00:discomposed:00 rattle%2:39:00::
hom_753_17 underhand%5:00:00:crooked:02 underhand%3:00:00::
hom_754_7 lie%2:42:03:: rest%2:42:00::
hom_756_16 draw%2:38:07:: draw%2:30:14::
hom_758_11 poulet%1:13:00:: chicken%1:11:00::
hom_759_7 take%2:40:15:: take%2:39:00::
hom_762_7 stand%1:09:00:: viewpoint%1:15:00::
hom_763_9 bowl%2:33:00:: bowl%2:38:00::
hom_764_14 crane%1:05:00:: hart_crane%1:18:00::
hom_765_11 overall%5:00:00:gross:00 overall%5:00:00:general:00
hom_766_13 sura%1:08:00:: calf%1:27:00::
hom_767_13 smart%5:00:00:intense:00 smart%3:00:00::
hom_768_14 pin%1:11:00:: pin%2:35:01::
hom_769_13 average%2:41:00:: average%1:09:00::
hom_770_10 trip%2:38:02:: trip%1:04:01::
hom_771_16 weight%1:06:00:: weight%1:07:00::
hom_774_4 staff%2:33:01:: staff%2:33:00::
hom_775_23 joint%1:06:01:: joint%1:06:02::
hom_778_12 cool%5:00:00:composed:00 cool%2:30:00::
hom_779_12 link%1:25:00:: connexion%1:04:01::
hom_780_19 log%2:35:00:: log%1:10:00::
hom_785_23 clam%1:13:00:: clam%1:05:00::
hom_787_33 changed%5:00:00:metamorphic:00 change%2:30:05::
hom_788_11 sprain%2:29:00:: wrench%2:38:00::
hom_790_13 fuck_up%2:41:00:: blow%2:40:00::
hom_791_18 cutting%1:04:03:: cutting%1:04:05::
hom_793_7 get_going%2:38:00:: go%2:42:13::
hom_796_10 light%3:00:04:: light%1:26:01::
hom_799_11 dry%5:00:02:plain:01 dry%5:00:00:unproductive:00
hom_800_15 power%1:26:00:: power%1:19:00::
hom_805_9 lay_aside%2:40:00:: save%2:40:04::
hom_806_3 charge%2:32:01:: charge%2:32:12::
hom_807_10 appendix%1:10:00:: vermiform_appendix%1:08:00::
hom_810_12 fret%1:07:00:: gall%2:39:00::
hom_811_17 score%2:31:05:: mark%2:31:01::
hom_812_8 puff%2:34:00:: delineate%2:35:00::
hom_814_12 trim%2:35:02:: rationalise%2:30:00::
hom_815_6 down%4:02:06:: down%4:02:05::
hom_817_11 date%1:14:00:: date%1:28:02::
hom_819_15 find%2:40:00:: retrieve%2:40:00::
hom_820_11 peanut%1:20:02:: peanut_vine%1:20:00::
